,end_station_name,end station popularity,data info
18,7 Ave & Central Park South,3,2023-09-01
19,7 Ave S & Bleecker St,1,2023-09-01
20,7 St & Monroe St,1140,2023-09-01
21,8 Ave & W 16 St,1,2023-09-01
22,8 Ave & W 24 St,1,2023-09-01
23,8 Ave & W 49 St,2,2023-09-01
24,8 St & Washington St,1698,2023-09-01
25,9 Ave & W 39 St,1,2023-09-01
26,9 St HBLR - Jackson St & 8 St,1289,2023-09-01
27,Adams St & 11 St,279,2023-09-01
28,Adams St & 12 St,227,2023-09-01
29,Adams St & 2 St,1186,2023-09-01
30,Astor Place,338,2023-09-01
31,Avenue D & E 12 St,1,2023-09-01
32,Avenue D & E 3 St,1,2023-09-01
33,Baldwin at Montgomery,781,2023-09-01
34,Barclay St & Church St,1,2023-09-01
35,Bergen Ave,487,2023-09-01
36,Bergen Ave & Sip Ave,1889,2023-09-01
37,Bergen Ave & Stegman St,130,2023-09-01
38,Bergen St & Kingston Ave,1,2023-09-01
39,Bleecker St & Crosby St,1,2023-09-01
40,Bloomfield St & 15 St,1227,2023-09-01
41,Broad St & Bridge St,1,2023-09-01
42,Broadway & Morris St,1,2023-09-01
43,Broadway & W 29 St,3,2023-09-01
44,Broadway & W 53 St,2,2023-09-01
45,Broadway & W 58 St,2,2023-09-01
46,Brooklyn Bridge Park - Pier 2,2,2023-09-01
47,Brunswick & 6th,801,2023-09-01
48,Brunswick St,833,2023-09-01
49,Bus Slip & State St,2,2023-09-01
50,Carmine St & 6 Ave,1,2023-09-01
51,Carroll St & Franklin Ave,1,2023-09-01
52,Central Park S & 6 Ave,1,2023-09-01
53,Centre St & Worth St,1,2023-09-01
54,Christ Hospital,401,2023-09-01
55,Church Sq Park - 5 St & Park Ave,735,2023-09-01
56,City Hall,1446,2023-09-01
57,City Hall - Washington St & 1 St,2396,2023-09-01
58,Clinton St & 7 St,1660,2023-09-01
59,Clinton St & Newark St,1119,2023-09-01
60,Columbus Drive,1319,2023-09-01
61,Columbus Park - Clinton St & 9 St,1697,2023-09-01
62,Communipaw & Berry Lane,363,2023-09-01
63,Congress St & Clinton St,1,2023-09-01
64,Dey St,275,2023-09-01
65,Dixon Mills,689,2023-09-01
66,E 10 St & 2 Ave,1,2023-09-01
67,E 14 St & 1 Ave,1,2023-09-01
68,E 17 St & Broadway,1,2023-09-01
69,E 22 St & 2 Ave,1,2023-09-01
70,E 41 St & Madison Ave (SE corner),1,2023-09-01
71,E 43 St & Madison Ave,2,2023-09-01
72,E 44 St & Lexington Ave,1,2023-09-01
73,E 47 St & Park Ave,1,2023-09-01
74,E 48 St & 3 Ave,2,2023-09-01
75,E 54 St & 1 Ave,1,2023-09-01
76,E 68 St & 3 Ave,1,2023-09-01
77,E 74 St & 1 Ave,1,2023-09-01
78,E 77 St & 1 Ave,1,2023-09-01
79,E 84 St & Park Ave,1,2023-09-01
80,E 89 St & York Ave,1,2023-09-01
81,E 91 St & 2 Ave,1,2023-09-01
82,Essex Light Rail,584,2023-09-01
83,Exchange Pl,1741,2023-09-01
84,Fairmount Ave,415,2023-09-01
85,Fulton St & Adams St,1,2023-09-01
86,Fulton St & Broadway,5,2023-09-01
87,Fulton St & William St,1,2023-09-01
88,Glenwood Ave,375,2023-09-01
89,Grand Ave & Bergen St,1,2023-09-01
90,Grand St,836,2023-09-01
91,Grand St & 14 St,1294,2023-09-01
92,Grand St & Elizabeth St,1,2023-09-01
93,Grant Ave & MLK Dr,44,2023-09-01
94,Great Jones St,2,2023-09-01
95,Greenwich St & Hubert St,7,2023-09-01
96,Greenwich St & Rector St,1,2023-09-01
97,Grove St PATH,4517,2023-09-01
98,Hamilton Park,2083,2023-09-01
99,Harborside,1517,2023-09-01
100,Heights Elevator,388,2023-09-01
101,Hilltop,442,2023-09-01
102,Hoboken Ave at Monmouth St,1879,2023-09-01
103,Hoboken Terminal - Hudson St & Hudson Pl,2601,2023-09-01
104,Hoboken Terminal - River St & Hudson Pl,3953,2023-09-01
105,Hudson St & 4 St,831,2023-09-01
106,JC Medical Center,1074,2023-09-01
107,Jackson Square,193,2023-09-01
108,Jersey & 3rd,776,2023-09-01
109,Jersey & 6th St,605,2023-09-01
110,Journal Square,735,2023-09-01
111,Kenmare St & Elizabeth St,1,2023-09-01
112,Lafayette Park,691,2023-09-01
113,Lafayette St & Jersey St,8,2023-09-01
114,Lefferts Ave & Schenectady Ave,1,2023-09-01
115,Leonard Gordon Park,431,2023-09-01
116,Liberty Light Rail,1403,2023-09-01
117,Liberty St & Broadway,2,2023-09-01
118,Lincoln Park,404,2023-09-01
119,Lispenard St & Broadway,1,2023-09-01
120,Madison St & 1 St,1331,2023-09-01
121,Madison St & 10 St,1116,2023-09-01
122,Maiden Ln & Pearl St,4,2023-09-01
123,Mama Johnson Field - 4 St & Jackson St,787,2023-09-01
124,Manila & 1st,1212,2023-09-01
125,Marin Light Rail,1692,2023-09-01
126,Marshall St & 2 St,1197,2023-09-01
127,McGinley Square,774,2023-09-01
128,Mercer St & Bleecker St,1,2023-09-01
129,Mercer St & Spring St,5,2023-09-01
130,Monmouth and 6th,667,2023-09-01
131,Montgomery St,684,2023-09-01
132,Morris Canal,1130,2023-09-01
133,Motorgate,1,2023-09-01
134,Newark Ave,1188,2023-09-01
135,Newport PATH,1518,2023-09-01
136,Newport Pkwy,2226,2023-09-01
137,Norfolk St & Broome St,1,2023-09-01
138,North Moore St & Greenwich St,11,2023-09-01
139,Oakland Ave,479,2023-09-01
140,Pacific St & Nevins St,1,2023-09-01
141,Paulus Hook,843,2023-09-01
142,Pershing Field,626,2023-09-01
143,Pioneer St & Richards St,1,2023-09-01
144,River St & 1 St,936,2023-09-01
145,River Ter & Warren St,5,2023-09-01
146,Riverside Blvd & W 67 St,1,2023-09-01
147,Riverview Park,630,2023-09-01
148,Rivington St & Chrystie St,1,2023-09-01
149,S 2 St & Kent Ave,1,2023-09-01
150,S 3 St & Bedford Ave,1,2023-09-01
151,Sands St Gate,1,2023-09-01
152,South Waterfront Walkway - Sinatra Dr & 1 St,2852,2023-09-01
153,Southwest Park - Jackson St & Observer Hwy,1269,2023-09-01
154,Spring St & Hudson St,5,2023-09-01
155,Spruce St & Gold St,1,2023-09-01
156,St Marks Ave & Rochester Ave,1,2023-09-01
157,Stevens - River Ter & 6 St,1503,2023-09-01
158,Thompson St & Bleecker St,1,2023-09-01
159,Union St,153,2023-09-01
160,University Pl & E 14 St,1,2023-09-01
161,Van Vorst Park,1040,2023-09-01
162,Vesey Pl & River Terrace,19,2023-09-01
163,Vesey St & Church St,5,2023-09-01
164,W 116 St & Broadway,1,2023-09-01
165,W 15 St & 6 Ave,1,2023-09-01
166,W 180 St & Ft Washington Ave,1,2023-09-01
167,W 30 St & 10 Ave,3,2023-09-01
168,W 34 St & 11 Ave,2,2023-09-01
169,W 34 St & Hudson Blvd E,1,2023-09-01
170,W 41 St & 8 Ave,3,2023-09-01
171,W 44 St & 5 Ave,3,2023-09-01
172,W 51 St & 6 Ave,1,2023-09-01
173,W 52 St & 5 Ave,2,2023-09-01
174,W 53 St & 10 Ave,1,2023-09-01
175,W 54 St & 6 Ave,2,2023-09-01
176,W 55 St & 6 Ave,1,2023-09-01
177,W 56 St & 8 Ave,1,2023-09-01
178,Warren St,1395,2023-09-01
179,Washington St,1567,2023-09-01
180,Washington St & Barrow St,1,2023-09-01
181,Washington St & Gansevoort St,3,2023-09-01
182,Washington St & Laight St,2,2023-09-01
183,Water St & Gouverneur Ln,2,2023-09-01
184,West End Ave & W 60 St,1,2023-09-01
185,West St & Chambers St,2,2023-09-01
186,West St & Liberty St,4,2023-09-01
187,William St & Pine St,2,2023-09-01
188,Willow Ave & 12 St,1139,2023-09-01
189,York St & Marin Blvd,399,2023-09-01
